exercise,project_type,project,waiting_time,flat_type,estimated_floor_area,estimated_internal_floor_area,units,min_price,max_price,exercise_date,avg_price,avg_floor_area
Oct 2024,standard projects,central trio @ amk,59,2-room flexi,48.0,46.0,115,221000,288000,2024-10-01,254500.0,47.0
Oct 2024,standard projects,central trio @ amk,59,4-room,89.0,86.0,267,481000,603000,2024-10-01,542000.0,87.5
Oct 2024,standard projects,bayshore vista,45,2-room flexi,39.0,36.0,58,216000,252000,2024-10-01,234000.0,37.5
Oct 2024,standard projects,bayshore vista,45,2-room flexi,49.0,46.0,140,259000,340000,2024-10-01,299500.0,47.5
Oct 2024,standard projects,bayshore vista,45,3-room,66.0,63.0,80,369000,476000,2024-10-01,422500.0,64.5
Oct 2024,standard projects,bayshore vista,45,4-room,89.0,86.0,456,514000,694000,2024-10-01,604000.0,87.5
Oct 2024,standard projects,bayshore palms,47,2-room flexi,39.0,36.0,40,199000,253000,2024-10-01,226000.0,37.5
Oct 2024,standard projects,bayshore palms,47,2-room flexi,49.0,46.0,120,258000,326000,2024-10-01,292000.0,47.5
Oct 2024,standard projects,bayshore palms,47,4-room,89.0,86.0,550,495000,683000,2024-10-01,589000.0,87.5
Oct 2024,standard projects,kembangan wave,41,2-room flexi,39.0,36.0,34,190000,230000,2024-10-01,210000.0,37.5
Oct 2024,standard projects,kembangan wave,41,2-room flexi,48.0,46.0,84,210000,285000,2024-10-01,247500.0,47.0
Oct 2024,standard projects,kembangan wave,41,4-room,89.0,86.0,230,453000,592000,2024-10-01,522500.0,87.5
Oct 2024,standard projects,merpati alcove,44,4-room,89.0,86.0,168,530000,647000,2024-10-01,588500.0,87.5
Oct 2024,standard projects,kallang view,43,3-room,66.0,63.0,68,388000,497000,2024-10-01,442500.0,64.5
Oct 2024,standard projects,kallang view,43,4-room,89.0,86.0,203,539000,698000,2024-10-01,618500.0,87.5
Oct 2024,standard projects,towner breeze,48,2-room flexi,39.0,36.0,38,216000,280000,2024-10-01,248000.0,37.5
Oct 2024,standard projects,towner breeze,48,2-room flexi,48.0,46.0,101,252000,328000,2024-10-01,290000.0,47.0
Oct 2024,standard projects,towner breeze,48,4-room,90.0,86.0,216,522000,727000,2024-10-01,624500.0,88.0
Oct 2024,prime project,crawford heights,50,3-room,66.0,63.0,78,390000,523000,2024-10-01,456500.0,64.5
Oct 2024,prime project,crawford heights,50,4-room,90.0,86.0,234,568000,759000,2024-10-01,663500.0,88.0
Jun 2024,standard projects,teban breeze,54,2-room flexi,39.0,36.0,75,120000,160000,2024-06-01,140000.0,37.5
Jun 2024,standard projects,teban breeze,54,2-room flexi,49.0,46.0,222,133000,200000,2024-06-01,166500.0,47.5
Jun 2024,standard projects,teban breeze,54,3-room,69.0,66.0,111,233000,306000,2024-06-01,269500.0,67.5
Jun 2024,standard projects,teban breeze,54,4-room,94.0,90.0,444,345000,457000,2024-06-01,401000.0,92.0
Jun 2024,standard projects,teban breeze,54,5-room,114.0,110.0,234,465000,628000,2024-06-01,546500.0,112.0
Jun 2024,standard projects,marsiling peak i & ii,35/54,2-room flexi,38.0,36.0,134,94000,152000,2024-06-01,123000.0,37.0
Jun 2024,standard projects,marsiling peak i & ii,35/54,2-room flexi,48.0,46.0,472,129000,189000,2024-06-01,159000.0,47.0
Jun 2024,standard projects,marsiling peak i & ii,35/54,3-room,69.0,66.0,181,207000,290000,2024-06-01,248500.0,67.5
Jun 2024,standard projects,marsiling peak i & ii,35/54,4-room,93.0,90.0,429,304000,423000,2024-06-01,363500.0,91.5
Jun 2024,standard projects,marsiling peak i & ii,35/54,5-room,113.0,110.0,362,449000,569000,2024-06-01,509000.0,111.5
Jun 2024,standard projects,marsiling peak i & ii,35/54,3gen,120.0,115.0,31,467000,565000,2024-06-01,516000.0,117.5
Jun 2024,standard projects,chencharu hills 44/,45,2-room flexi,39.0,36.0,82,113000,138000,2024-06-01,125500.0,37.5
Jun 2024,standard projects,chencharu hills 44/,45,2-room flexi,48.0,46.0,303,134000,170000,2024-06-01,152000.0,47.0
Jun 2024,standard projects,chencharu hills 44/,45,3-room,69.0,66.0,82,219000,271000,2024-06-01,245000.0,67.5
Jun 2024,standard projects,chencharu hills 44/,45,4-room,93.0,90.0,420,279000,346000,2024-06-01,312500.0,91.5
Jun 2024,standard projects,chencharu hills 44/,45,5-room,114.0,110.0,390,407000,496000,2024-06-01,451500.0,112.0
Jun 2024,plus project,tampines greentopaz,37,2-room flexi,38.0,36.0,35,152000,187000,2024-06-01,169500.0,37.0
Jun 2024,plus project,tampines greentopaz,37,2-room flexi,48.0,46.0,138,200000,238000,2024-06-01,219000.0,47.0
Jun 2024,plus project,tampines greentopaz,37,4-room,93.0,90.0,214,445000,569000,2024-06-01,507000.0,91.5
Jun 2024,plus project,tampines greentopaz,37,5-room,113.0,110.0,174,589000,719000,2024-06-01,654000.0,111.5
Jun 2024,prime project,tanjong rhu riverfront i & ii,48/55,2-room flexi,38.0,36.0,130,207000,293000,2024-06-01,250000.0,37.0
Jun 2024,prime project,tanjong rhu riverfront i & ii,48/55,2-room flexi,48.0,46.0,440,262000,378000,2024-06-01,320000.0,47.0
Jun 2024,prime project,tanjong rhu riverfront i & ii,48/55,3-room,66.0,63.0,197,402000,544000,2024-06-01,473000.0,64.5
Jun 2024,prime project,tanjong rhu riverfront i & ii,48/55,4-room,90.5,87.5,1296,568000,779000,2024-06-01,673500.0,89.0
Jun 2024,prime project,holland vista,57,2-room flexi,38.0,36.0,38,209000,285000,2024-06-01,247000.0,37.0
Jun 2024,prime project,holland vista,57,2-room flexi,48.0,46.0,76,293000,367000,2024-06-01,330000.0,47.0
Jun 2024,prime project,holland vista,57,4-room,89.0,86.0,228,582000,762000,2024-06-01,672000.0,87.5
Feb 2024,standard projects,rail garden @ cck,45,2-room flexi,38.0,36.0,44,102000,124000,2024-02-01,113000.0,37.0
