Exercise,Project Type,Project,Waiting Time,Flat Type,Estimated Floor Area,Estimated Internal Floor Area,Units,Min Price,Max Price
Oct 2024,Prime Project,Crawford Heights,50,3-room,66,63,78,390000,523000
Oct 2024,Prime Project,Crawford Heights,50,4-room,90,86,234,568000,759000
Jun 2024,Standard Projects,Teban Breeze,54,2-room Flexi,39,36,75,120000,160000
Jun 2024,Standard Projects,Teban Breeze,54,2-room Flexi,49,46,222,133000,200000
Jun 2024,Standard Projects,Teban Breeze,54,3-room,69,66,111,233000,306000
Jun 2024,Standard Projects,Teban Breeze,54,4-room,94,90,444,345000,457000
Jun 2024,Standard Projects,Teban Breeze,54,5-room,114,110,234,465000,628000
Jun 2024,Standard Projects,Marsiling Peak I & II,35/54,2-room Flexi,38,36,134,94000,152000
Jun 2024,Standard Projects,Marsiling Peak I & II,35/54,2-room Flexi,48,46,472,129000,189000
Jun 2024,Standard Projects,Marsiling Peak I & II,35/54,3-room,69,66,181,207000,290000
Jun 2024,Standard Projects,Marsiling Peak I & II,35/54,4-room,93,90,429,304000,423000
Jun 2024,Standard Projects,Marsiling Peak I & II,35/54,5-room,113,110,362,449000,569000
Jun 2024,Standard Projects,Marsiling Peak I & II,35/54,3Gen,120,115,31,467000,565000
Jun 2024,Standard Projects,Chencharu Hills 44/,45,2-room Flexi,39,36,82,113000,138000
Jun 2024,Standard Projects,Chencharu Hills 44/,45,2-room Flexi,48,46,303,134000,170000
Jun 2024,Standard Projects,Chencharu Hills 44/,45,3-room,69,66,82,219000,271000
Jun 2024,Standard Projects,Chencharu Hills 44/,45,4-room,93,90,420,279000,346000
Jun 2024,Standard Projects,Chencharu Hills 44/,45,5-room,114,110,390,407000,496000
Jun 2024,Plus Project,Tampines GreenTopaz,37,2-room Flexi,38,36,35,152000,187000
Jun 2024,Plus Project,Tampines GreenTopaz,37,2-room Flexi,48,46,138,200000,238000
Jun 2024,Plus Project,Tampines GreenTopaz,37,4-room,93,90,214,445000,569000
Jun 2024,Plus Project,Tampines GreenTopaz,37,5-room,113,110,174,589000,719000
Jun 2024,Prime Project,Tanjong Rhu Riverfront I & II,48/55,2-room Flexi,38,36,130,207000,293000
